8,7,1
9,1,9
4,5,4
4,6,1
3,8,5
6,5,9
1,5,1
4,4,9
7,3,7
6,7,3
1,8,7
2,7,6
1,8,9
1,6,3
4,3,5
5,1,3
1,1,8
2,3,4
1,4,1
7,9,2
1,6,3
2,1,9
20,9,7
6,4,9
1,2,9
6,9,4
1,4,6
1,8,6
1,4,7
5,2,3
2,6,4
3,9,5
5,3,5
3,3,8
3,5,6
1,9,8
5,4,5
3,4,9
1,8,2
2,8,2
11,5,6
16,7,1
2,1,7
14,6,1
11,1,6
2,1,4
4,3,4
9,2,4
2,4,8
2,5,3
9,4,7
2,3,2
1,2,7
1,8,4
4,1,4
1,9,1
7,4,7
2,6,5
1,8,6
1,4,2
10,1,6
5,7,3
1,4,7
2,1,2
2,2,4
4,3,4
18,7,6
6,6,4
1,7,4
1,7,6
11,4,5
14,5,9
1,8,7
8,6,2
2,4,5
7,9,1
6,9,7
5,1,8
1,3,6
10,6,3
1,9,6
1,5,4
4,3,8
1,5,9
9,2,3
1,9,5
4,8,4
1,5,3
5,8,7
5,7,2
3,4,1
8,6,5
1,7,9
4,1,3
2,4,6
5,5,2
4,6,9
1,1,2
1,5,6
7,2,8
5,6,8
4,7,9
15,3,9
1,7,3
1,5,3
6,2,6
1,5,2
2,3,9
1,6,8
5,8,9
2,3,8
3,3,6
11,9,4
1,2,1
2,8,4
1,1,4
7,4,7
9,6,3
4,7,8
4,7,6
19,9,4
7,8,5
5,3,6
6,6,9
3,3,5
1,3,9
8,4,5
2,9,6
3,8,2
1,8,4
1,2,5
19,4,1
2,5,7
2,2,4
13,5,2
1,5,1
2,6,9
1,8,7
9,9,3
2,3,8
1,4,2
5,6,7
1,4,6
2,8,7
7,1,5
1,6,7
10,1,8
1,1,3
1,1,2
6,5,3
4,5,3
5,7,1
3,1,2
4,7,5
8,3,6
2,1,7
4,5,8
7,3,5
3,7,2
1,7,3
12,2,8
23,8,2
16,2,6
1,9,6
7,5,7
7,2,4
2,3,8
1,1,9
5,8,1
2,3,9
2,7,1
4,1,3
4,7,2
2,1,4
11,2,9
3,3,4
1,9,1
2,2,7
4,4,8
2,9,5
2,5,7
4,4,6
1,3,8
1,9,8
4,4,2
2,1,3
1,8,4
2,3,5
3,9,7
2,8,9
1,9,6
2,7,3
2,8,1
1,4,9
18,6,2
1,6,5
1,5,9
18,2,3
1,8,7
2,5,9
1,1,4
3,2,1
9,9,4
7,4,6
2,7,3
2,4,9
7,6,7
3,7,2
7,6,3
2,6,9
24,3,9
2,6,8
1,4,2
2,8,5
31,9,3
6,7,4
35,3,7
1,1,8
1,5,7
1,5,4
1,3,9
1,8,2
3,1,7
7,4,5
1,9,8
4,5,6
2,5,2
6,2,5
2,5,7
2,2,1
2,5,4
1,8,4
3,4,6
4,6,7
1,5,2
2,6,9
1,6,4
1,4,8
2,9,6
1,8,9
34,7,9
6,7,3
1,7,2
1,5,8
1,8,6
6,7,4
1,7,3
7,3,5
6,4,6
31,9,1
3,5,7
24,1,3
1,2,4
3,9,1
14,3,5
1,4,3
1,9,7
8,3,7
1,2,9
7,1,5
3,6,8
3,6,1
1,1,3
4,3,2
4,2,3
2,5,1
9,7,4
1,6,5
1,1,7
3,8,9
5,4,2
3,2,3
1,2,3
2,4,1
2,9,4
1,9,3
1,6,1
1,9,6
25,5,4
4,1,9
2,3,7
2,6,9
2,9,5
6,7,1
5,3,6
10,4,3
10,4,8
2,4,2
5,1,9
2,6,4
6,9,6
7,6,4
3,9,4
3,2,4
4,3,8
2,5,3
10,4,9
4,9,7
5,9,5
4,5,1
9,4,6
10,1,3
1,5,4
3,4,5
2,5,7
1,7,3
1,6,9
11,8,6
14,6,5
1,4,7
7,5,3
3,5,4
2,9,5
2,4,3
2,7,4
11,3,9
2,8,2
2,2,3
1,8,2
1,2,9
3,4,5
2,6,9
1,1,8
10,9,7
2,9,3
23,3,9
4,6,4
9,5,6
1,5,3
5,6,7
1,1,7
1,3,9
4,6,7
1,8,7
1,7,5
1,5,1
12,7,6
9,9,3
6,6,4
8,7,3
3,7,4
6,3,1
10,4,8
10,8,7
2,3,7
9,3,8
2,6,3
10,7,1
3,4,6
5,8,5
3,5,7
1,3,2
1,2,6
6,9,1
12,1,3
3,6,9
3,1,7
1,3,2
7,1,7
1,2,7
2,6,4
1,4,5
3,8,7
2,6,3
2,6,1
1,3,8
5,3,4
2,8,5
14,7,4
1,3,2
1,3,7
7,7,4
2,5,3
2,1,4
9,4,6
1,1,2
4,9,4
8,9,3
2,2,7
13,4,8
4,4,1
2,7,6
12,3,2
11,2,9
6,4,9
18,9,4
2,1,6
6,8,1
13,6,5
8,4,5
1,2,9
8,1,4
7,4,8
4,3,5
10,8,5
13,5,8
12,4,5
2,9,8
29,5,9
24,9,2
23,2,4
5,9,2
7,5,7
1,5,1
7,4,8
14,8,1
5,2,6
16,4,7
8,1,6
1,2,8
20,7,6
11,6,4
3,1,5
3,4,3
8,4,9
8,6,1
2,1,4
3,5,2
12,8,2
1,7,1
1,3,5
1,7,8
1,7,3
12,2,8
13,6,4
2,1,9
3,2,6
3,9,7
5,9,1
4,6,4
2,3,6
1,5,9
1,6,7
9,1,5
11,8,3
1,6,8
3,7,1
1,8,7
2,8,9
7,1,2
17,4,7
1,8,6
4,7,2
4,9,7
4,2,3
1,1,4
2,4,3
9,5,4
1,6,8
6,2,1
5,1,9
9,4,3
1,4,6
2,9,7
1,1,5
1,2,7
1,8,9
1,6,8
1,5,4
1,8,7
23,3,7
36,7,6
33,6,1
1,4,8
7,1,5
1,8,1
3,7,2
24,1,3
7,7,3
3,5,1
4,5,3
1,9,8
2,9,6
1,8,5
3,2,5
30,3,5
1,6,7
6,1,8
7,3,2
1,7,5
2,3,2
2,6,8
1,6,1
7,5,8
8,8,7
20,5,8
2,9,7
8,2,1
7,7,3
1,2,1
3,7,9
4,8,3
5,5,6
1,5,9
4,9,4
1,5,9
2,3,6
1,5,8
7,6,3
1,4,1
7,3,2
3,3,5
2,4,7
